Customer ID,Age,Gender,City,Region,Annual Income,Total Purchases,Total Spending,Average Order Value,Purchase Frequency,Last Purchase Date,Recency,Preferred Category,Customer Type
CUST-0001,18,Male,Seattle,West,61176.76,1,69.86,69.86,1,2026-05-18,98,Office Supplies,Returning
CUST-0002,27,Female,Spokane,West,100817.08,1,138.43,138.43,1,2026-08-20,4,Fashion,New
CUST-0003,53,Male,Dallas,Central,67366.78,19,2273.57,119.66,12,2026-06-16,69,Furniture,Returning
CUST-0004,43,Male,Atlanta,South,106078.74,4,545.38,136.35,3,2026-04-28,118,Office Supplies,New
CUST-0005,38,Female,Seattle,West,81249.27,12,1110.76,92.56,8,2026-08-06,18,Groceries,Loyal
CUST-0006,27,Female,Spokane,West,84643.12,17,1228.08,72.24,14,2026-06-14,71,Fashion,Returning
CUST-0007,40,Female,Denver,Central,53036.57,7,643.58,91.94,6,2026-06-13,72,Furniture,Loyal
CUST-0008,29,Male,Houston,Central,77005.01,3,341.57,113.86,2,2026-08-15,9,Technology,Returning
CUST-0009,32,Male,Austin,Central,93171.83,15,2438.65,162.58,9,2026-04-22,124,Home Essentials,Returning
CUST-0010,43,Female,New York City,East,67736.82,12,937.14,78.09,12,2026-06-12,73,Fashion,Loyal
CUST-0011,27,Male,Portland,West,74571.17,1,84.63,84.63,1,2026-05-24,92,Groceries,New
CUST-0012,44,Female,San Diego,West,84227.17,10,1083.4,108.34,10,2026-08-10,14,Technology,Returning
CUST-0013,63,Male,Cambridge,East,80400.92,12,1944.02,162.0,9,2026-01-26,210,Office Supplies,New
CUST-0014,31,Male,Miami,South,63606.98,12,1555.23,129.6,7,2026-08-20,4,Home Essentials,Returning
CUST-0015,38,Male,Springfield,Central,80512.6,9,1094.64,121.63,7,2026-08-10,14,Home Essentials,Returning
CUST-0016,20,Female,Pittsburgh,East,106668.41,1,136.32,136.32,1,2026-07-25,30,Furniture,New
CUST-0017,35,Female,Cambridge,East,89405.73,6,895.72,149.29,4,2026-04-22,124,Fashion,New
CUST-0018,20,Male,Buffalo,East,97907.4,19,1856.36,97.7,15,2026-08-16,8,Groceries,Returning
CUST-0019,26,Female,Charlotte,South,92611.98,1,66.92,66.92,1,2026-07-19,36,Technology,Returning
CUST-0020,45,Female,Philadelphia,East,75669.02,11,710.47,64.59,6,2026-02-28,177,Home Essentials,New
CUST-0021,35,Female,Savannah,South,94485.82,16,1227.92,76.75,14,2026-07-13,42,Technology,Returning
CUST-0022,38,Female,Spokane,West,68967.89,17,1757.94,103.41,10,2026-08-10,14,Furniture,Returning
CUST-0023,33,Male,Orlando,South,73696.52,22,2014.77,91.58,13,2026-08-04,20,Fashion,Loyal
CUST-0024,29,Male,San Francisco,West,58489.37,19,1900.1,100.01,15,2026-05-10,106,Technology,Loyal
CUST-0025,39,Male,Raleigh,South,102147.09,13,2156.79,165.91,8,2026-08-16,8,Technology,Returning
CUST-0026,36,Other,Denver,Central,80280.02,15,987.88,65.86,15,2026-08-18,6,Technology,Loyal
CUST-0027,40,Male,Buffalo,East,53690.75,17,1622.25,95.43,10,2026-07-10,45,Fashion,Returning
CUST-0028,59,Female,Miami,South,60790.42,6,839.72,139.95,6,2026-07-02,53,Groceries,Returning
CUST-0029,41,Female,Springfield,Central,68681.23,11,1037.67,94.33,7,2026-08-08,16,Office Supplies,New
CUST-0030,44,Female,Buffalo,East,65926.28,9,918.26,102.03,7,2026-08-12,12,Furniture,Loyal
CUST-0031,18,Male,Austin,Central,70309.76,11,1738.13,158.01,6,2026-08-13,11,Technology,New
CUST-0032,43,Female,Chicago,Central,70498.8,1,54.36,54.36,1,2026-04-03,143,Technology,New
CUST-0033,66,Female,Buffalo,East,40476.92,10,1212.46,121.25,6,2026-07-21,34,Office Supplies,Loyal
CUST-0034,23,Female,Portland,West,55251.51,1,154.54,154.54,1,2026-08-05,19,Technology,New
CUST-0035,26,Female,San Francisco,West,73111.95,14,1495.76,106.84,8,2026-08-18,6,Technology,Returning
CUST-0036,30,Female,Miami,South,40445.29,26,1935.22,74.43,16,2026-07-11,44,Technology,Returning
CUST-0037,47,Female,Raleigh,South,69133.69,1,116.9,116.9,1,2026-07-13,42,Furniture,New
CUST-0038,45,Male,Boulder,Central,73808.06,8,690.44,86.3,8,2026-08-03,21,Fashion,Returning
CUST-0039,29,Male,Pittsburgh,East,77674.03,11,1195.27,108.66,6,2026-08-02,22,Furniture,Returning
CUST-0040,48,Female,Charlotte,South,119591.7,8,817.2,102.15,8,2026-07-02,53,Home Essentials,New
CUST-0041,48,Female,Portland,West,96360.37,12,1231.7,102.64,10,2026-03-28,149,Groceries,Returning
CUST-0042,38,Female,Spokane,West,55965.27,6,447.45,74.58,5,2026-06-21,64,Groceries,Returning
CUST-0043,33,Male,Seattle,West,60780.46,12,1236.76,103.06,9,2026-08-07,17,Office Supplies,Returning
CUST-0044,28,Female,Los Angeles,West,48848.56,14,1621.0,115.79,8,2026-07-06,49,Groceries,Returning
CUST-0045,41,Female,Miami,South,116661.6,8,1090.72,136.34,5,2026-07-06,49,Furniture,New
CUST-0046,25,Male,Springfield,Central,31302.33,1,105.48,105.48,1,2025-12-31,236,Technology,New
CUST-0047,25,Female,Springfield,Central,57926.27,3,429.95,143.32,3,2026-08-23,1,Fashion,New
CUST-0048,50,Male,Austin,Central,119412.67,6,747.35,124.56,5,2026-06-08,77,Office Supplies,Returning
CUST-0049,18,Female,Seattle,West,104146.44,12,1638.57,136.55,11,2026-08-13,11,Home Essentials,Returning
CUST-0050,35,Female,Boston,East,47977.78,10,977.33,97.73,10,2026-07-25,30,Furniture,New
CUST-0051,47,Female,Chicago,Central,68794.52,8,651.93,81.49,5,2026-06-11,74,Office Supplies,Loyal
CUST-0052,43,Male,Boulder,Central,51100.59,8,824.33,103.04,7,2026-08-18,6,Home Essentials,Returning
CUST-0053,60,Female,New York City,East,88451.11,7,559.41,79.92,7,2026-08-12,12,Technology,Returning
CUST-0054,30,Female,Cambridge,East,96654.4,1,100.45,100.45,1,2026-06-06,79,Furniture,New
CUST-0055,30,Male,Pittsburgh,East,22000,23,1574.14,68.44,15,2026-07-20,35,Technology,Loyal
CUST-0056,23,Female,Dallas,Central,93246.7,17,1810.93,106.53,15,2026-04-19,127,Groceries,Returning
CUST-0057,18,Male,Los Angeles,West,71510.7,1,114.24,114.24,1,2026-08-12,12,Home Essentials,New
CUST-0058,18,Male,Eugene,West,60958.91,1,133.73,133.73,1,2026-08-12,12,Groceries,New
CUST-0059,44,Male,Los Angeles,West,103566.04,17,2169.7,127.63,11,2026-07-06,49,Furniture,Loyal
CUST-0060,48,Male,Boston,East,56671.73,4,683.36,170.84,3,2026-07-25,30,Groceries,Returning
CUST-0061,32,Female,Savannah,South,72451.24,4,628.61,157.15,4,2026-07-11,44,Technology,Returning
CUST-0062,32,Male,Boulder,Central,57078.43,1,81.28,81.28,1,2026-04-21,125,Office Supplies,New
CUST-0063,24,Male,San Francisco,West,55231.11,6,905.95,150.99,6,2025-11-26,271,Groceries,Returning
CUST-0064,44,Female,Raleigh,South,90582.11,10,1361.79,136.18,6,2026-08-19,5,Furniture,Returning
CUST-0065,42,Male,Pittsburgh,East,102540.67,11,1689.7,153.61,8,2026-06-02,83,Fashion,Returning
CUST-0066,49,Male,Dallas,Central,52212.07,1,117.25,117.25,1,2025-09-21,337,Technology,Returning
CUST-0067,22,Female,Springfield,Central,84153.92,8,751.89,93.99,5,2026-05-30,86,Fashion,New
CUST-0068,43,Female,Chicago,Central,56825.39,1,88.56,88.56,1,2026-07-26,29,Groceries,New
CUST-0069,21,Female,Atlanta,South,68140.26,10,1124.01,112.4,8,2026-07-11,44,Furniture,Returning
CUST-0070,29,Female,Miami,South,109319.57,13,1511.85,116.3,7,2026-04-20,126,Technology,Returning
CUST-0071,18,Female,Eugene,West,106914.55,10,1115.24,111.52,6,2026-07-11,44,Furniture,Returning
CUST-0072,18,Female,Springfield,Central,67036.02,10,1461.8,146.18,10,2026-06-22,63,Home Essentials,Returning
CUST-0073,39,Female,Raleigh,South,102820.45,23,3268.57,142.11,17,2026-08-23,1,Groceries,Loyal
CUST-0074,27,Female,New York City,East,79224.01,1,80.68,80.68,1,2026-05-22,94,Groceries,New
CUST-0075,23,Female,Portland,West,53145.99,15,1969.04,131.27,10,2026-01-13,223,Home Essentials,Returning
CUST-0076,45,Female,Buffalo,East,60443.63,1,101.37,101.37,1,2026-07-18,37,Office Supplies,Returning
CUST-0077,36,Female,Savannah,South,67208.4,1,129.85,129.85,1,2026-07-19,36,Groceries,New
CUST-0078,37,Male,Eugene,West,103194.9,3,259.67,86.56,2,2026-05-18,98,Office Supplies,Returning
CUST-0079,36,Female,Savannah,South,78128.06,3,464.17,154.72,2,2026-08-09,15,Groceries,New
CUST-0080,38,Male,Cambridge,East,57417.07,9,1177.47,130.83,6,2026-07-22,33,Technology,Returning
CUST-0081,24,Female,Springfield,Central,72181.25,9,816.79,90.75,8,2026-08-14,10,Groceries,Returning
CUST-0082,44,Female,Austin,Central,46102.32,24,2205.51,91.9,15,2026-08-18,6,Groceries,Loyal
CUST-0083,41,Male,Eugene,West,67374.25,8,1125.11,140.64,5,2026-03-18,159,Furniture,New
CUST-0084,39,Male,Austin,Central,59422.16,7,517.09,73.87,5,2026-07-11,44,Furniture,New
CUST-0085,31,Female,Denver,Central,45943.69,12,1956.06,163.01,11,2026-08-18,6,Technology,Returning
CUST-0086,24,Male,Dallas,Central,71605.15,5,521.0,104.2,3,2026-07-17,38,Technology,New
CUST-0087,28,Female,Savannah,South,78297.22,11,1961.04,178.28,9,2026-06-09,76,Groceries,Returning
CUST-0088,31,Male,Cambridge,East,,7,1101.34,157.33,5,2026-08-05,19,Groceries,Returning
CUST-0089,41,Female,Springfield,Central,91823.25,8,1361.37,170.17,6,2026-08-17,7,Furniture,New
CUST-0090,44,Male,Pittsburgh,East,47169.51,17,1700.81,100.05,12,2026-04-04,142,Technology,Returning
CUST-0091,41,Female,New York City,East,46716.98,8,751.44,93.93,5,2026-08-17,7,Fashion,Returning
CUST-0092,18,Female,Spokane,West,95590.31,1,113.06,113.06,1,2026-07-07,48,Technology,Returning
CUST-0093,25,Female,Eugene,West,83933.87,9,754.19,83.8,7,2026-05-20,96,Home Essentials,Returning
CUST-0094,47,Female,Eugene,West,79909.81,1,117.5,117.5,1,2026-07-23,32,Groceries,New
CUST-0095,53,Male,New York City,East,81943.99,16,2209.3,138.08,11,2026-07-06,49,Home Essentials,Returning
CUST-0096,40,Male,Pittsburgh,East,124933.34,14,2004.65,143.19,9,2026-07-20,35,Home Essentials,New
CUST-0097,22,Male,Chicago,Central,95956.36,12,937.94,78.16,8,2026-07-05,50,Office Supplies,Returning
CUST-0098,18,Male,Austin,Central,54386.1,10,990.43,99.04,7,2026-06-07,78,Groceries,Returning
CUST-0099,44,Female,Denver,Central,76057.87,3,339.42,113.14,2,2026-08-20,4,Technology,Returning
CUST-0100,30,Male,Dallas,Central,69330.8,5,643.72,128.74,3,2026-05-24,92,Furniture,Loyal
CUST-0101,35,Female,Los Angeles,West,81237.36,15,1820.28,121.35,8,2026-08-18,6,Technology,Returning
CUST-0102,38,Male,Spokane,West,77530.11,9,891.7,99.08,9,2025-12-20,247,Office Supplies,Returning
CUST-0103,28,Male,Denver,Central,67549.97,10,882.83,88.28,7,2025-09-02,356,Fashion,New
CUST-0104,33,Female,Dallas,Central,61850.57,10,1381.66,138.17,6,2026-07-04,51,Furniture,Returning
CUST-0105,39,Male,Spokane,West,62346.44,11,1396.44,126.95,7,2026-08-23,1,Groceries,Returning
CUST-0106,35,Female,Atlanta,South,82875.42,15,1670.69,111.38,10,2026-02-21,184,Home Essentials,Returning
CUST-0107,58,Female,Miami,South,22000,13,1463.78,112.6,10,2026-07-12,43,Furniture,Loyal
CUST-0108,32,Male,Cambridge,East,69683.2,1,169.89,169.89,1,2026-07-31,24,Technology,New
CUST-0109,27,Male,Austin,Central,101620.9,5,518.36,103.67,4,2026-07-10,45,Fashion,New
CUST-0110,30,Female,Charlotte,South,82060.81,8,801.7,100.21,6,2026-01-19,217,Groceries,Returning
CUST-0111,27,Male,Dallas,Central,81335.49,14,1754.39,125.31,11,2026-07-05,50,Home Essentials,Returning
CUST-0112,24,Female,Eugene,West,103774.13,3,399.87,133.29,3,2026-07-14,41,Furniture,Returning
CUST-0113,24,Male,Springfield,Central,74207.46,17,1866.36,109.79,13,2026-08-08,16,Technology,Returning
CUST-0114,56,Female,Raleigh,South,92610.99,7,1035.56,147.94,7,2026-07-20,35,Groceries,Returning
