Order ID,Order Date,Product,Category,Sub-Category,Region,State,City,Customer Segment,Sales,Quantity,Discount,Profit
ORD-00001,2023-08-17,Work Desk,Furniture,Tables,East,Pennsylvania,Philadelphia,Corporate,1893.81,6,0,329.92
ORD-00002,2025-10-31,Laser Printer,Technology,Printers,Central,Colorado,Boulder,Consumer,926.08,3,0.15,13.46
ORD-00003,2024-11-27,Visitor Chair,Furniture,Chairs,East,Massachusetts,Boston,Consumer,201.38,2,0,31.84
ORD-00004,2025-02-14,Coffee Table,Furniture,Tables,Central,Illinois,Chicago,Corporate,151.95,1,0,23.57
ORD-00005,2023-07-26,USB-C Hub,Technology,Accessories,South,Florida,Orlando,Consumer,199.6,3,0.1,40.6
ORD-00006,2025-12-29,Premium Notebook,Office Supplies,Paper,West,Oregon,Portland,Corporate,118.02,5,0.1,28.82
ORD-00007,2024-07-02,Storage Rack,Furniture,Storage,West,Oregon,Eugene,Consumer,790.05,6,0,123.63
ORD-00008,2024-06-22,Archive Box,Office Supplies,Binders,West,California,Los Angeles,Corporate,15.33,1,0,4.16
ORD-00009,2025-05-14,Keyboard Combo,Technology,Accessories,Central,Illinois,Springfield,Home Office,276.87,5,0,76.11
ORD-00010,2024-06-30,Ring Binder Set,Office Supplies,Binders,West,California,San Francisco,Consumer,114.48,4,0.1,22.61
ORD-00011,2023-08-06,Archive Box,Office Supplies,Binders,West,California,Los Angeles,Consumer,12.57,1,0.2,0.95
ORD-00012,2025-09-27,Conference Table,Furniture,Tables,East,New York,New York City,Consumer,1605.35,2,0,222.09
ORD-00013,2025-08-31,Premium Notebook,Office Supplies,Paper,West,Oregon,Eugene,Home Office,103.16,6,0.1,22.95
ORD-00014,2025-02-03,Inkjet Printer,Technology,Printers,East,New York,New York City,Consumer,549.18,3,0,60.97
ORD-00015,2024-04-13,Visitor Chair,Furniture,Chairs,East,New York,Buffalo,Corporate,150.09,1,0,27.12
ORD-00016,2025-08-26,Copy Paper Box,Office Supplies,Paper,East,Massachusetts,Cambridge,Consumer,87.24,2,0.1,9.77
ORD-00017,2025-04-04,Copy Paper Box,Office Supplies,Paper,East,Pennsylvania,Pittsburgh,Consumer,50.9,1,0.05,11.38
ORD-00018,2023-07-20,File Cabinet,Furniture,Storage,South,Florida,Miami,Consumer,283.44,2,0.15,22.04
ORD-00019,2025-03-10,Conference Table,Furniture,Tables,West,Oregon,Eugene,Consumer,1369.16,2,0.2,34.56
ORD-00020,2023-04-28,Coffee Table,Furniture,Tables,South,North Carolina,Charlotte,Consumer,199.35,2,0.15,21.82
ORD-00021,2025-04-06,File Cabinet,Furniture,Storage,West,California,San Diego,Consumer,533.32,3,0.05,96.43
ORD-00022,2024-10-05,Work Desk,Furniture,Tables,Central,Illinois,Springfield,Consumer,1022.19,4,0,229.73
ORD-00023,2023-05-31,Inkjet Printer,Technology,Printers,East,Massachusetts,Boston,Home Office,372.3,2,0,40.86
ORD-00024,2025-12-19,Bookshelf,Furniture,Storage,South,Florida,Miami,Consumer,883.2,5,0.1,86.04
ORD-00025,2024-12-03,Bookshelf,Furniture,Storage,West,Washington,Seattle,Consumer,468.07,2,0,89.59
ORD-00026,2024-06-20,Coffee Table,Furniture,Tables,Central,Colorado,Denver,Consumer,860.09,8,0.1,92.51
ORD-00027,2023-10-31,Wireless Desk Phone,Technology,Phones,West,California,San Francisco,Consumer,201.48,1,0,39.57
ORD-00028,2023-11-13,Copy Paper Box,Office Supplies,Paper,South,Florida,Orlando,Consumer,193.93,4,0,49.68
ORD-00029,2024-05-23,File Cabinet,Furniture,Storage,West,California,San Francisco,Consumer,843.81,5,0.05,119.3
ORD-00030,2023-02-18,Presentation Folder,Office Supplies,Binders,West,California,San Francisco,Consumer,32.35,2,0.1,7.23
ORD-00031,2024-06-18,Work Desk,Furniture,Tables,East,Massachusetts,Cambridge,Corporate,614.76,2,0.05,99.76
ORD-00032,2024-06-05,Work Desk,Furniture,Tables,West,Oregon,Portland,Consumer,241.56,1,0.1,35.65
ORD-00033,2024-09-07,Inkjet Printer,Technology,Printers,West,Oregon,Eugene,Corporate,224.14,1,0.1,-0.81
ORD-00034,2024-09-08,Wireless Desk Phone,Technology,Phones,West,Washington,Spokane,Consumer,337.67,2,0,74.87
ORD-00035,2023-12-14,Archive Box,Office Supplies,Binders,Central,Colorado,Boulder,Consumer,98.02,8,0,22.5
ORD-00036,2023-04-05,Coffee Table,Furniture,Tables,South,Florida,Orlando,Consumer,420.56,3,0,65.55
ORD-00037,2023-01-12,Premium Notebook,Office Supplies,Paper,East,Pennsylvania,Pittsburgh,Consumer,16.65,1,0.15,3.21
ORD-00038,2024-10-11,Archive Box,Office Supplies,Binders,South,North Carolina,Raleigh,Home Office,28.98,3,0.15,3.65
ORD-00039,2024-05-21,Archive Box,Office Supplies,Binders,West,California,San Francisco,Consumer,53.77,4,0,12.11
ORD-00040,2023-11-05,File Cabinet,Furniture,Storage,Central,Texas,Dallas,Consumer,475.41,3,0,108.78
ORD-00041,2023-02-10,Desk Organizer,Office Supplies,Art,West,Washington,Spokane,Corporate,156.72,5,0.2,15.0
ORD-00042,2024-03-27,Keyboard Combo,Technology,Accessories,West,Washington,Spokane,Corporate,366.73,4,0.1,77.73
ORD-00043,2025-12-29,Coffee Table,Furniture,Tables,West,California,Los Angeles,Corporate,176.96,1,0.05,21.0
ORD-00044,2024-10-31,Keyboard Combo,Technology,Accessories,Central,Illinois,Springfield,Home Office,90.67,2,0.1,14.64
ORD-00045,2023-05-21,Marker Set,Office Supplies,Art,Central,Texas,Houston,Home Office,40.13,3,0,13.31
ORD-00046,2025-08-10,Ring Binder Set,Office Supplies,Binders,Central,Colorado,Denver,Corporate,29.29,1,0,8.42
ORD-00047,2025-02-07,Laser Printer,Technology,Printers,East,Pennsylvania,Philadelphia,Consumer,1500.98,4,0.15,111.35
ORD-00048,2023-03-26,USB-C Hub,Technology,Accessories,West,Oregon,Eugene,Consumer,172.31,2,0.05,41.91
ORD-00049,2025-07-30,Ring Binder Set,Office Supplies,Binders,Central,Colorado,Boulder,Corporate,153.33,6,0.1,30.74
ORD-00050,2024-10-22,Premium Notebook,Office Supplies,Paper,South,Florida,Orlando,Corporate,67.9,3,0,21.16
ORD-00051,2024-12-27,Presentation Folder,Office Supplies,Binders,South,North Carolina,Raleigh,Corporate,32.76,2,0,10.68
ORD-00052,2024-05-07,Whiteboard Kit,Office Supplies,Art,West,California,Los Angeles,Consumer,134.84,2,0,30.47
ORD-00053,2024-12-05,Receipt Printer,Technology,Printers,West,Oregon,Eugene,Consumer,307.17,1,0,50.63
ORD-00054,2024-01-15,Bookshelf,Furniture,Storage,West,Oregon,Eugene,Home Office,1018.77,5,0,199.7
ORD-00055,2023-09-17,Executive Chair,Furniture,Chairs,West,California,San Diego,Home Office,542.44,2,0.15,53.14
ORD-00056,2024-01-13,Presentation Folder,Office Supplies,Binders,East,New York,Buffalo,Corporate,45.94,3,0.1,12.14
ORD-00057,2023-06-24,Sticky Notes Pack,Office Supplies,Paper,Central,Colorado,Denver,Corporate,16.25,2,0.2,
ORD-00058,2023-05-04,Laser Printer,Technology,Printers,South,Florida,Tampa,Consumer,999.62,3,0,100.14
ORD-00059,2025-07-11,Presentation Folder,Office Supplies,Binders,East,Massachusetts,Cambridge,Corporate,37.81,2,0.1,9.23
ORD-00060,2024-02-10,Laser Printer,Technology,Printers,Central,Illinois,Chicago,Consumer,407.99,1,0,48.45
ORD-00061,2023-09-12,USB-C Hub,Technology,Accessories,West,Washington,Spokane,Consumer,238.78,3,0.15,24.58
ORD-00062,2024-04-13,Whiteboard Kit,Office Supplies,Art,South,North Carolina,Raleigh,Corporate,265.84,4,0,55.32
ORD-00063,2025-06-11,Ring Binder Set,Office Supplies,Binders,West,Washington,Spokane,Consumer,27.47,1,0,8.05
ORD-00064,2025-03-31,Marker Set,Office Supplies,Art,West,Washington,Spokane,Consumer,158.28,8,0,49.5
ORD-00065,2025-08-04,Conference Phone,Technology,Phones,West,Washington,Spokane,Corporate,516.5,1,0.05,82.19
ORD-00066,2023-09-06,Storage Rack,Furniture,Storage,Central,Colorado,Denver,Consumer,108.62,1,0,13.84
ORD-00067,2023-08-29,Premium Notebook,Office Supplies,Paper,South,Georgia,Savannah,Consumer,31.71,2,0.05,8.31
ORD-00068,2025-11-06,Copy Paper Box,Office Supplies,Paper,West,Washington,Spokane,Home Office,74.51,2,0.15,10.26
ORD-00069,2025-09-29,Archive Box,Office Supplies,Binders,West,Washington,Spokane,Consumer,29.68,2,0,6.98
